m	n	topk	coop_g	us	stddev_pct	path
4096	163840	2048	2	716.80	0.060	prefill
4096	163840	2048	4	709.60	0.058	prefill
4096	163840	2048	8	708.80	0.042	prefill
4096	163840	2048	16	774.70	0.054	prefill
4096	163840	2048	32	918.60	0.050	prefill
4096	163840	2048	64	1331.10	0.092	prefill
1	229376	2048	1	69.00	0.053	prefill
1	229376	2048	2	48.80	0.058	decode
1	229376	2048	4	36.50	0.063	decode
1	229376	2048	8	29.80	0.055	decode
1	229376	2048	16	26.90	0.086	decode
1	229376	2048	32	25.50	0.108	decode
1	229376	2048	64	25.00	0.002	decode
2	229376	2048	1	69.90	0.057	prefill
2	229376	2048	2	48.50	0.034	decode
2	229376	2048	4	36.80	0.000	decode
2	229376	2048	8	30.00	0.054	decode
2	229376	2048	16	27.10	0.085	decode
2	229376	2048	32	26.00	0.125	decode
2	229376	2048	64	26.00	0.089	decode
4	229376	2048	1	70.10	0.077	prefill
4	229376	2048	2	49.60	0.057	decode
4	229376	2048	4	37.00	0.098	decode
4	229376	2048	8	30.50	0.119	decode
4	229376	2048	16	27.50	0.197	decode
4	229376	2048	32	27.00	0.171	decode
4	229376	2048	64	27.60	0.177	decode
8	229376	2048	1	70.70	0.069	prefill
8	229376	2048	2	50.00	0.046	decode
8	229376	2048	4	37.60	0.136	decode
8	229376	2048	8	31.00	0.167	decode
8	229376	2048	16	28.80	0.114	decode
8	229376	2048	32	28.80	0.179	decode
8	229376	2048	64	31.20	0.196	decode
16	229376	2048	1	71.30	0.032	prefill
16	229376	2048	2	51.20	0.045	decode
16	229376	2048	4	40.00	0.082	decode
16	229376	2048	8	31.90	0.134	decode
16	229376	2048	16	30.40	0.107	decode
16	229376	2048	32	32.00	0.102	decode
16	229376	2048	64	37.20	0.098	decode
32	229376	2048	1	82.10	0.034	prefill
32	229376	2048	2	55.70	0.041	decode
32	229376	2048	4	43.00	0.066	decode
32	229376	2048	8	33.80	0.127	decode
32	229376	2048	16	33.10	0.256	decode
32	229376	2048	32	37.20	0.061	decode
32	229376	2048	64	49.50	0.065	decode
64	229376	2048	1	90.60	0.031	prefill
64	229376	2048	2	60.20	0.038	decode
64	229376	2048	4	48.40	0.058	decode
64	229376	2048	8	36.70	0.109	decode
64	229376	2048	16	38.20	0.074	decode
64	229376	2048	32	46.30	0.070	decode
64	229376	2048	64	64.10	0.084	decode
128	229376	2048	1	91.50	0.047	prefill
128	229376	2048	2	61.50	0.075	decode
128	229376	2048	4	52.20	0.044	decode
128	229376	2048	8	44.00	0.052	decode
128	229376	2048	16	48.70	0.058	decode
128	229376	2048	32	59.20	0.107	decode
128	229376	2048	64	86.00	0.107	decode
256	229376	2048	1	93.80	0.060	prefill
256	229376	2048	2	66.80	0.043	decode
256	229376	2048	4	64.60	0.036	decode
256	229376	2048	8	61.90	0.052	decode
256	229376	2048	16	67.20	0.034	decode
256	229376	2048	32	82.80	0.048	decode
256	229376	2048	64	128.20	0.097	decode
512	229376	2048	1	158.50	0.140	prefill
512	229376	2048	2	127.20	0.053	prefill
512	229376	2048	4	123.40	0.060	prefill
512	229376	2048	8	124.20	0.067	prefill
512	229376	2048	16	135.60	0.040	prefill
512	229376	2048	32	159.60	0.129	prefill
512	229376	2048	64	215.80	0.080	prefill
1024	229376	2048	1	260.60	0.073	prefill
1024	229376	2048	2	251.90	0.089	prefill
1024	229376	2048	4	245.50	0.084	prefill
1024	229376	2048	8	245.10	0.112	prefill
1024	229376	2048	16	261.80	0.092	prefill
1024	229376	2048	32	303.30	0.085	prefill
1024	229376	2048	64	392.50	0.069	prefill
2048	229376	2048	1	468.90	0.055	prefill
2048	229376	2048	2	462.70	0.037	prefill
2048	229376	2048	4	454.40	0.122	prefill
2048	229376	2048	8	446.10	0.050	prefill
2048	229376	2048	16	469.30	0.104	prefill
2048	229376	2048	32	556.30	0.063	prefill
2048	229376	2048	64	736.60	0.076	prefill
4096	229376	2048	1	936.90	0.037	prefill
4096	229376	2048	2	916.80	0.041	prefill
4096	229376	2048	4	896.60	0.069	prefill
4096	229376	2048	8	883.80	0.076	prefill
4096	229376	2048	16	944.90	0.068	prefill
4096	229376	2048	32	1104.10	0.063	prefill
4096	229376	2048	64	1424.80	0.030	prefill
1	327680	2048	1	88.10	0.037	prefill
1	327680	2048	2	59.20	0.028	decode
1	327680	2048	4	42.20	0.039	decode
1	327680	2048	8	33.10	0.048	decode
1	327680	2048	16	29.00	0.098	decode
1	327680	2048	32	27.10	0.002	decode
