m	n	topk	coop_g	us	stddev_pct	path
64	49152	2048	64	32.00	0.114	decode
128	49152	2048	1	36.80	0.000	prefill
128	49152	2048	2	35.60	0.122	decode
128	49152	2048	4	37.30	0.062	decode
128	49152	2048	8	27.60	0.102	decode
128	49152	2048	16	34.30	0.082	decode
128	49152	2048	32	38.90	0.073	decode
128	49152	2048	64	39.10	0.102	decode
256	49152	2048	1	37.60	0.001	prefill
256	49152	2048	2	38.10	0.043	decode
256	49152	2048	4	43.10	0.066	decode
256	49152	2048	8	34.60	0.066	decode
256	49152	2048	16	43.70	0.053	decode
256	49152	2048	32	51.70	0.062	decode
256	49152	2048	64	51.60	0.063	decode
512	49152	2048	1	45.60	0.036	prefill
512	49152	2048	2	48.20	0.048	prefill
512	49152	2048	4	61.60	0.064	prefill
512	49152	2048	8	50.00	0.064	prefill
512	49152	2048	16	65.00	0.066	prefill
512	49152	2048	32	78.30	0.088	prefill
512	49152	2048	64	78.30	0.072	prefill
1024	49152	2048	1	67.10	0.042	prefill
1024	49152	2048	2	75.90	0.064	prefill
1024	49152	2048	4	92.40	0.075	prefill
1024	49152	2048	8	79.20	0.041	prefill
1024	49152	2048	16	106.20	0.100	prefill
1024	49152	2048	32	130.00	0.049	prefill
1024	49152	2048	64	129.90	0.048	prefill
2048	49152	2048	1	155.80	0.127	prefill
2048	49152	2048	2	150.10	0.069	prefill
2048	49152	2048	4	172.70	0.141	prefill
2048	49152	2048	8	162.10	0.085	prefill
2048	49152	2048	16	216.20	0.064	prefill
2048	49152	2048	32	256.70	0.071	prefill
2048	49152	2048	64	256.40	0.088	prefill
4096	49152	2048	1	305.60	0.136	prefill
4096	49152	2048	2	286.90	0.057	prefill
4096	49152	2048	4	312.70	0.069	prefill
4096	49152	2048	8	307.20	0.070	prefill
4096	49152	2048	16	410.70	0.058	prefill
4096	49152	2048	32	489.50	0.065	prefill
4096	49152	2048	64	489.20	0.068	prefill
1	65536	2048	1	33.50	0.109	prefill
1	65536	2048	2	29.00	0.079	decode
1	65536	2048	4	24.70	0.093	decode
1	65536	2048	8	22.00	0.074	decode
1	65536	2048	16	21.10	0.000	decode
1	65536	2048	32	20.80	0.111	decode
1	65536	2048	64	20.80	0.176	decode
2	65536	2048	1	34.00	0.096	prefill
2	65536	2048	2	28.30	0.058	decode
2	65536	2048	4	24.60	0.094	decode
2	65536	2048	8	22.10	0.074	decode
2	65536	2048	16	21.40	0.171	decode
2	65536	2048	32	21.20	0.242	decode
2	65536	2048	64	21.20	0.277	decode
4	65536	2048	1	34.30	0.150	prefill
4	65536	2048	2	29.50	0.111	decode
4	65536	2048	4	25.00	0.146	decode
4	65536	2048	8	22.40	0.217	decode
4	65536	2048	16	21.70	0.168	decode
4	65536	2048	32	22.00	0.166	decode
4	65536	2048	64	22.10	0.234	decode
8	65536	2048	1	34.90	0.197	prefill
8	65536	2048	2	30.40	0.170	decode
8	65536	2048	4	26.80	0.061	decode
8	65536	2048	8	23.20	0.100	decode
8	65536	2048	16	23.00	0.142	decode
8	65536	2048	32	24.00	0.068	decode
8	65536	2048	64	24.10	0.152	decode
16	65536	2048	1	35.00	0.104	prefill
16	65536	2048	2	32.20	0.160	decode
16	65536	2048	4	29.40	0.136	decode
16	65536	2048	8	24.10	0.136	decode
16	65536	2048	16	24.60	0.149	decode
16	65536	2048	32	27.00	0.102	decode
16	65536	2048	64	27.00	0.061	decode
32	65536	2048	1	35.30	0.103	prefill
32	65536	2048	2	32.90	0.086	decode
32	65536	2048	4	29.80	0.122	decode
32	65536	2048	8	24.30	0.150	decode
32	65536	2048	16	26.40	0.213	decode
32	65536	2048	32	31.60	0.155	decode
32	65536	2048	64	31.60	0.172	decode
64	65536	2048	1	35.60	0.092	prefill
64	65536	2048	2	36.90	0.063	decode
64	65536	2048	4	35.20	0.078	decode
64	65536	2048	8	25.80	0.090	decode
64	65536	2048	16	28.60	0.126	decode
64	65536	2048	32	38.00	0.104	decode
64	65536	2048	64	38.00	0.143	decode
128	65536	2048	1	40.40	0.040	prefill
128	65536	2048	2	38.20	0.043	decode
128	65536	2048	4	38.20	0.113	decode
128	65536	2048	8	29.00	0.307	decode
128	65536	2048	16	34.60	0.066	decode
128	65536	2048	32	47.20	0.059	decode
128	65536	2048	64	47.20	0.059	decode
256	65536	2048	1	42.80	0.001	prefill
256	65536	2048	2	40.30	0.041	decode
256	65536	2048	4	44.90	0.035	decode
256	65536	2048	8	36.80	0.061	decode
256	65536	2048	16	44.60	0.062	decode
256	65536	2048	32	62.90	0.045	decode
256	65536	2048	64	62.80	0.045	decode
512	65536	2048	1	51.20	0.077	prefill
512	65536	2048	2	52.00	0.031	prefill
512	65536	2048	4	65.00	0.043	prefill
512	65536	2048	8	54.20	0.029	prefill
512	65536	2048	16	67.00	0.042	prefill
512	65536	2048	32	96.60	0.051	prefill
512	65536	2048	64	96.60	0.051	prefill
1024	65536	2048	1	77.80	0.059	prefill
1024	65536	2048	2	86.70	0.077	prefill
1024	65536	2048	4	102.80	0.053	prefill
1024	65536	2048	8	94.00	0.055	prefill
1024	65536	2048	16	117.70	0.060	prefill
1024	65536	2048	32	170.40	0.066	prefill
1024	65536	2048	64	170.40	0.063	prefill
2048	65536	2048	1	189.70	0.158	prefill
2048	65536	2048	2	184.10	0.088	prefill
2048	65536	2048	4	195.80	0.142	prefill
2048	65536	2048	8	189.30	0.116	prefill
2048	65536	2048	16	230.30	0.052	prefill
2048	65536	2048	32	327.30	0.050	prefill
2048	65536	2048	64	327.00	0.105	prefill
4096	65536	2048	1	329.50	0.081	prefill
4096	65536	2048	2	319.80	0.063	prefill
4096	65536	2048	4	342.40	0.093	prefill
4096	65536	2048	8	343.10	0.093	prefill
4096	65536	2048	16	425.60	0.087	prefill
4096	65536	2048	32	614.20	0.084	prefill
4096	65536	2048	64	613.70	0.060	prefill
1	98304	2048	1	41.00	0.080	prefill
1	98304	2048	2	33.50	0.084	decode
1	98304	2048	4	27.40	0.084	decode
1	98304	2048	8	23.60	0.069	decode
1	98304	2048	16	22.30	0.104	decode
1	98304	2048	32	21.80	0.106	decode
1	98304	2048	64	21.60	0.107	decode
2	98304	2048	1	41.80	0.078	prefill
2	98304	2048	2	32.60	0.087	decode
2	98304	2048	4	27.20	0.084	decode
2	98304	2048	8	23.80	0.069	decode
2	98304	2048	16	22.60	0.191	decode
2	98304	2048	32	22.30	0.127	decode
2	98304	2048	64	22.30	0.164	decode
4	98304	2048	1	42.10	0.067	prefill
4	98304	2048	2	34.20	0.106	decode
4	98304	2048	4	27.60	0.084	decode
4	98304	2048	8	24.20	0.165	decode
4	98304	2048	16	23.20	0.306	decode
4	98304	2048	32	23.30	0.157	decode
4	98304	2048	64	23.60	0.154	decode
8	98304	2048	1	42.60	0.115	prefill
8	98304	2048	2	34.50	0.095	decode
8	98304	2048	4	28.80	0.113	decode
8	98304	2048	8	24.80	0.209	decode
8	98304	2048	16	24.20	0.223	decode
8	98304	2048	32	25.10	0.091	decode
8	98304	2048	64	26.20	0.138	decode
16	98304	2048	1	42.80	0.076	prefill
16	98304	2048	2	35.80	0.120	decode
16	98304	2048	4	31.80	0.089	decode
16	98304	2048	8	25.50	0.143	decode
16	98304	2048	16	25.90	0.244	decode
16	98304	2048	32	28.00	0.154	decode
16	98304	2048	64	30.60	0.167	decode
32	98304	2048	1	42.90	0.126	prefill
32	98304	2048	2	36.00	0.119	decode
32	98304	2048	4	32.20	0.072	decode
32	98304	2048	8	25.90	0.109	decode
32	98304	2048	16	27.60	0.186	decode
32	98304	2048	32	32.40	0.167	decode
32	98304	2048	64	38.10	0.074	decode
64	98304	2048	1	48.90	0.067	prefill
64	98304	2048	2	40.60	0.070	decode
64	98304	2048	4	37.00	0.062	decode
64	98304	2048	8	27.80	0.059	decode
64	98304	2048	16	30.30	0.075	decode
64	98304	2048	32	39.70	0.092	decode
64	98304	2048	64	49.10	0.088	decode
128	98304	2048	1	52.20	0.054	prefill
128	98304	2048	2	42.30	0.065	decode
128	98304	2048	4	41.20	0.055	decode
128	98304	2048	8	31.90	0.051	decode
128	98304	2048	16	37.70	0.122	decode
128	98304	2048	32	51.00	0.090	decode
128	98304	2048	64	63.60	0.058	decode
256	98304	2048	1	53.50	0.031	prefill
256	98304	2048	2	45.20	0.061	decode
256	98304	2048	4	48.40	0.047	decode
256	98304	2048	8	41.80	0.054	decode
256	98304	2048	16	48.80	0.058	decode
256	98304	2048	32	68.40	0.075	decode
256	98304	2048	64	89.90	0.131	decode
512	98304	2048	1	63.30	0.044	prefill
512	98304	2048	2	61.60	0.046	prefill
512	98304	2048	4	72.60	0.038	prefill
512	98304	2048	8	63.80	0.062	prefill
512	98304	2048	16	74.80	0.038	prefill
512	98304	2048	32	105.70	0.062	prefill
512	98304	2048	64	137.90	0.088	prefill
1024	98304	2048	1	126.00	0.053	prefill
1024	98304	2048	2	121.20	0.075	prefill
1024	98304	2048	4	130.20	0.050	prefill
1024	98304	2048	8	124.00	0.057	prefill
1024	98304	2048	16	143.70	0.090	prefill
1024	98304	2048	32	197.80	0.080	prefill
1024	98304	2048	64	247.00	0.108	prefill
2048	98304	2048	1	260.40	0.079	prefill
2048	98304	2048	2	248.10	0.103	prefill
2048	98304	2048	4	256.00	0.069	prefill
2048	98304	2048	8	251.90	0.043	prefill
2048	98304	2048	16	287.00	0.049	prefill
2048	98304	2048	32	384.60	0.097	prefill
2048	98304	2048	64	472.10	0.096	prefill
4096	98304	2048	1	464.30	0.057	prefill
4096	98304	2048	2	445.20	0.073	prefill
4096	98304	2048	4	454.40	0.041	prefill
4096	98304	2048	8	455.00	0.081	prefill
4096	98304	2048	16	529.70	0.059	prefill
