m	n	g	us	path	stddev_pct
4	163840	64	26.10	decode	0.14
8	163840	1	57.00	prefill	0.05
8	163840	2	42.40	decode	0.12
8	163840	4	33.20	decode	0.14
8	163840	8	28.00	decode	0.15
8	163840	16	26.30	decode	0.19
8	163840	32	26.80	decode	0.18
8	163840	64	29.20	decode	0.19
16	163840	1	57.50	prefill	0.04
16	163840	2	43.40	decode	0.05
16	163840	4	35.90	decode	0.04
16	163840	8	28.70	decode	0.11
16	163840	16	28.20	decode	0.14
16	163840	32	30.00	decode	0.13
16	163840	64	35.50	decode	0.14
32	163840	1	57.60	prefill	0.04
32	163840	2	47.20	decode	0.05
32	163840	4	36.50	decode	0.15
32	163840	8	29.20	decode	0.00
32	163840	16	30.10	decode	0.29
32	163840	32	34.30	decode	0.05
32	163840	64	46.90	decode	0.06
64	163840	1	71.40	prefill	0.04
64	163840	2	50.40	decode	0.04
64	163840	4	43.10	decode	0.07
64	163840	8	32.70	decode	0.09
64	163840	16	34.60	decode	0.08
64	163840	32	42.70	decode	0.09
64	163840	64	61.00	decode	0.09
128	163840	1	72.10	prefill	0.04
128	163840	2	51.40	decode	0.03
128	163840	4	46.50	decode	0.08
128	163840	8	37.90	decode	0.06
128	163840	16	43.10	decode	0.04
128	163840	32	54.40	decode	0.06
128	163840	64	82.70	decode	0.16
256	163840	1	74.30	prefill	0.04
256	163840	2	56.00	decode	0.05
256	163840	4	56.20	decode	0.05
256	163840	8	51.80	decode	0.04
256	163840	16	57.60	decode	0.04
256	163840	32	75.10	decode	0.04
256	163840	64	122.30	decode	0.32
512	163840	1	118.80	prefill	0.21
512	163840	2	96.30	prefill	0.18
512	163840	4	98.50	prefill	0.10
512	163840	8	97.00	prefill	0.15
512	163840	16	108.00	prefill	0.10
512	163840	32	133.50	prefill	0.03
512	163840	64	203.40	prefill	0.10
1024	163840	1	199.10	prefill	0.09
1024	163840	2	193.20	prefill	0.09
1024	163840	4	194.20	prefill	0.09
1024	163840	8	193.80	prefill	0.05
1024	163840	16	208.70	prefill	0.07
1024	163840	32	251.00	prefill	0.09
1024	163840	64	369.60	prefill	0.08
2048	163840	1	346.60	prefill	0.08
2048	163840	2	340.40	prefill	0.10
2048	163840	4	339.80	prefill	0.07
2048	163840	8	336.20	prefill	0.08
2048	163840	16	365.50	prefill	0.12
2048	163840	32	457.90	prefill	0.05
2048	163840	64	688.80	prefill	0.10
4096	163840	1	747.10	prefill	0.05
4096	163840	2	716.80	prefill	0.06
4096	163840	4	709.60	prefill	0.06
4096	163840	8	708.80	prefill	0.04
4096	163840	16	774.70	prefill	0.05
4096	163840	32	918.60	prefill	0.05
4096	163840	64	1331.10	prefill	0.09
1	229376	1	69.00	prefill	0.05
1	229376	2	48.80	decode	0.06
1	229376	4	36.50	decode	0.06
1	229376	8	29.80	decode	0.06
1	229376	16	26.90	decode	0.09
1	229376	32	25.50	decode	0.11
1	229376	64	25.00	decode	0.00
2	229376	1	69.90	prefill	0.06
2	229376	2	48.50	decode	0.03
2	229376	4	36.80	decode	0.00
2	229376	8	30.00	decode	0.05
2	229376	16	27.10	decode	0.09
2	229376	32	26.00	decode	0.12
2	229376	64	26.00	decode	0.09
4	229376	1	70.10	prefill	0.08
4	229376	2	49.60	decode	0.06
4	229376	4	37.00	decode	0.10
4	229376	8	30.50	decode	0.12
4	229376	16	27.50	decode	0.20
4	229376	32	27.00	decode	0.17
4	229376	64	27.60	decode	0.18
8	229376	1	70.70	prefill	0.07
8	229376	2	50.00	decode	0.05
8	229376	4	37.60	decode	0.14
8	229376	8	31.00	decode	0.17
8	229376	16	28.80	decode	0.11
8	229376	32	28.80	decode	0.18
8	229376	64	31.20	decode	0.20
16	229376	1	71.30	prefill	0.03
16	229376	2	51.20	decode	0.04
16	229376	4	40.00	decode	0.08
16	229376	8	31.90	decode	0.13
16	229376	16	30.40	decode	0.11
16	229376	32	32.00	decode	0.10
16	229376	64	37.20	decode	0.10
32	229376	1	82.10	prefill	0.03
32	229376	2	55.70	decode	0.04
32	229376	4	43.00	decode	0.07
32	229376	8	33.80	decode	0.13
32	229376	16	33.10	decode	0.26
32	229376	32	37.20	decode	0.06
32	229376	64	49.50	decode	0.07
64	229376	1	90.60	prefill	0.03
64	229376	2	60.20	decode	0.04
64	229376	4	48.40	decode	0.06
64	229376	8	36.70	decode	0.11
64	229376	16	38.20	decode	0.07
64	229376	32	46.30	decode	0.07
64	229376	64	64.10	decode	0.08
128	229376	1	91.50	prefill	0.05
128	229376	2	61.50	decode	0.07
128	229376	4	52.20	decode	0.04
128	229376	8	44.00	decode	0.05
128	229376	16	48.70	decode	0.06
128	229376	32	59.20	decode	0.11
128	229376	64	86.00	decode	0.11
256	229376	1	93.80	prefill	0.06
256	229376	2	66.80	decode	0.04
256	229376	4	64.60	decode	0.04
256	229376	8	61.90	decode	0.05
256	229376	16	67.20	decode	0.03
256	229376	32	82.80	decode	0.05
256	229376	64	128.20	decode	0.10
512	229376	1	158.50	prefill	0.14
512	229376	2	127.20	prefill	0.05
512	229376	4	123.40	prefill	0.06
512	229376	8	124.20	prefill	0.07
512	229376	16	135.60	prefill	0.04
512	229376	32	159.60	prefill	0.13
512	229376	64	215.80	prefill	0.08
1024	229376	1	260.60	prefill	0.07
1024	229376	2	251.90	prefill	0.09
1024	229376	4	245.50	prefill	0.08
1024	229376	8	245.10	prefill	0.11
1024	229376	16	261.80	prefill	0.09
1024	229376	32	303.30	prefill	0.09
1024	229376	64	392.50	prefill	0.07
2048	229376	1	468.90	prefill	0.06
2048	229376	2	462.70	prefill	0.04
2048	229376	4	454.40	prefill	0.12
2048	229376	8	446.10	prefill	0.05
2048	229376	16	469.30	prefill	0.10
2048	229376	32	556.30	prefill	0.06
2048	229376	64	736.60	prefill	0.08
4096	229376	1	936.90	prefill	0.04
4096	229376	2	916.80	prefill	0.04
4096	229376	4	896.60	prefill	0.07
4096	229376	8	883.80	prefill	0.08
4096	229376	16	944.90	prefill	0.07
4096	229376	32	1104.10	prefill	0.06
4096	229376	64	1424.80	prefill	0.03
1	327680	1	88.10	prefill	0.04
1	327680	2	59.20	decode	0.03
1	327680	4	42.20	decode	0.04
1	327680	8	33.10	decode	0.05
1	327680	16	29.00	decode	0.10
1	327680	32	27.10	decode	0.00
1	327680	64	26.50	decode	0.06
2	327680	1	89.20	prefill	0.04
2	327680	2	58.20	decode	0.04
2	327680	4	42.00	decode	0.06
2	327680	8	33.30	decode	0.07
2	327680	16	29.20	decode	0.05
2	327680	32	27.50	decode	0.08
2	327680	64	27.20	decode	0.09
4	327680	1	89.10	prefill	0.08
4	327680	2	59.80	decode	0.09
4	327680	4	42.60	decode	0.16
4	327680	8	33.40	decode	0.09
4	327680	16	29.60	decode	0.10
4	327680	32	28.50	decode	0.08
4	327680	64	29.10	decode	0.11
8	327680	1	89.30	prefill	0.06
8	327680	2	59.90	decode	0.09
8	327680	4	42.80	decode	0.12
8	327680	8	33.70	decode	0.19
8	327680	16	30.60	decode	0.14
8	327680	32	30.00	decode	0.09
8	327680	64	32.00	decode	0.10
16	327680	1	89.70	prefill	0.03
16	327680	2	60.20	decode	0.04
16	327680	4	47.80	decode	0.06
16	327680	8	34.80	decode	0.11
16	327680	16	32.40	decode	0.09
16	327680	32	33.70	decode	0.08
16	327680	64	38.40	decode	0.08
32	327680	1	116.10	prefill	0.04
32	327680	2	73.00	decode	0.02
32	327680	4	50.80	decode	0.06
32	327680	8	39.00	decode	0.06
32	327680	16	36.00	decode	0.08
32	327680	32	40.20	decode	0.07
32	327680	64	52.60	decode	0.08
64	327680	1	117.10	prefill	0.03
64	327680	2	73.60	decode	0.03
64	327680	4	54.30	decode	0.03
64	327680	8	41.00	decode	0.10
64	327680	16	42.00	decode	0.05
64	327680	32	50.70	decode	0.11
64	327680	64	67.50	decode	0.08
128	327680	1	118.00	prefill	0.02
128	327680	2	74.90	decode	0.06
128	327680	4	58.20	decode	0.03
128	327680	8	50.90	decode	0.04
128	327680	16	54.90	decode	0.03
128	327680	32	65.40	decode	0.06
128	327680	64	91.70	decode	0.14
256	327680	1	153.70	prefill	0.11
256	327680	2	112.40	decode	0.17
256	327680	4	87.30	decode	0.22
256	327680	8	86.60	decode	0.21
256	327680	16	94.80	decode	0.15
256	327680	32	109.60	decode	0.09
256	327680	64	146.80	decode	0.10
512	327680	1	218.50	prefill	0.11
512	327680	2	170.60	prefill	0.11
512	327680	4	167.20	prefill	0.14
512	327680	8	164.80	prefill	0.22
512	327680	16	175.30	prefill	0.11
512	327680	32	197.00	prefill	0.15
512	327680	64	248.20	prefill	0.17
1024	327680	1	294.70	prefill	0.06
1024	327680	2	304.50	prefill	0.14
1024	327680	4	301.80	prefill	0.07
1024	327680	8	293.70	prefill	0.09
1024	327680	16	299.30	prefill	0.14
1024	327680	32	334.60	prefill	0.07
1024	327680	64	440.30	prefill	0.08
2048	327680	1	677.80	prefill	0.03
2048	327680	2	651.80	prefill	0.09
2048	327680	4	642.10	prefill	0.06
2048	327680	8	622.20	prefill	0.12
2048	327680	16	647.00	prefill	0.09
2048	327680	32	730.60	prefill	0.08
2048	327680	64	875.40	prefill	0.06
4096	327680	1	1262.40	prefill	0.04
4096	327680	2	1231.40	prefill	0.08
4096	327680	4	1222.00	prefill	0.04
4096	327680	8	1185.80	prefill	0.15
4096	327680	16	1229.90	prefill	0.07
4096	327680	32	1385.10	prefill	0.08
4096	327680	64	1683.50	prefill	0.04
1	458752	1	111.90	prefill	0.05
1	458752	2	71.80	decode	0.02
1	458752	4	48.80	decode	0.07
1	458752	8	37.40	decode	0.09
1	458752	16	31.40	decode	0.05
1	458752	32	28.60	decode	0.08
1	458752	64	27.60	decode	0.06
2	458752	1	112.60	prefill	0.04
2	458752	2	70.80	decode	0.09
2	458752	4	48.40	decode	0.05
2	458752	8	37.40	decode	0.07
2	458752	16	31.50	decode	0.12
2	458752	32	28.90	decode	0.14
2	458752	64	28.30	decode	0.13
4	458752	1	112.80	prefill	0.03
