m	n	g	us	path	stddev_pct
16	49152	16	24.40	decode	0.07
16	49152	32	25.50	decode	0.17
16	49152	64	25.50	decode	0.11
32	49152	1	31.60	prefill	0.12
32	49152	2	31.10	decode	0.09
32	49152	4	29.20	decode	0.11
32	49152	8	23.70	decode	0.14
32	49152	16	25.80	decode	0.15
32	49152	32	27.50	decode	0.10
32	49152	64	27.40	decode	0.08
64	49152	1	32.00	prefill	0.16
64	49152	2	34.40	decode	0.14
64	49152	4	33.90	decode	0.15
64	49152	8	25.20	decode	0.17
64	49152	16	28.30	decode	0.18
64	49152	32	32.00	decode	0.16
64	49152	64	32.00	decode	0.11
128	49152	1	36.80	prefill	0.00
128	49152	2	35.60	decode	0.12
128	49152	4	37.30	decode	0.06
128	49152	8	27.60	decode	0.10
128	49152	16	34.30	decode	0.08
128	49152	32	38.90	decode	0.07
128	49152	64	39.10	decode	0.10
256	49152	1	37.60	prefill	0.00
256	49152	2	38.10	decode	0.04
256	49152	4	43.10	decode	0.07
256	49152	8	34.60	decode	0.07
256	49152	16	43.70	decode	0.05
256	49152	32	51.70	decode	0.06
256	49152	64	51.60	decode	0.06
512	49152	1	45.60	prefill	0.04
512	49152	2	48.20	prefill	0.05
512	49152	4	61.60	prefill	0.06
512	49152	8	50.00	prefill	0.06
512	49152	16	65.00	prefill	0.07
512	49152	32	78.30	prefill	0.09
512	49152	64	78.30	prefill	0.07
1024	49152	1	67.10	prefill	0.04
1024	49152	2	75.90	prefill	0.06
1024	49152	4	92.40	prefill	0.07
1024	49152	8	79.20	prefill	0.04
1024	49152	16	106.20	prefill	0.10
1024	49152	32	130.00	prefill	0.05
1024	49152	64	129.90	prefill	0.05
2048	49152	1	155.80	prefill	0.13
2048	49152	2	150.10	prefill	0.07
2048	49152	4	172.70	prefill	0.14
2048	49152	8	162.10	prefill	0.09
2048	49152	16	216.20	prefill	0.06
2048	49152	32	256.70	prefill	0.07
2048	49152	64	256.40	prefill	0.09
4096	49152	1	305.60	prefill	0.14
4096	49152	2	286.90	prefill	0.06
4096	49152	4	312.70	prefill	0.07
4096	49152	8	307.20	prefill	0.07
4096	49152	16	410.70	prefill	0.06
4096	49152	32	489.50	prefill	0.07
4096	49152	64	489.20	prefill	0.07
1	65536	1	33.50	prefill	0.11
1	65536	2	29.00	decode	0.08
1	65536	4	24.70	decode	0.09
1	65536	8	22.00	decode	0.07
1	65536	16	21.10	decode	0.00
1	65536	32	20.80	decode	0.11
1	65536	64	20.80	decode	0.18
2	65536	1	34.00	prefill	0.10
2	65536	2	28.30	decode	0.06
2	65536	4	24.60	decode	0.09
2	65536	8	22.10	decode	0.07
2	65536	16	21.40	decode	0.17
2	65536	32	21.20	decode	0.24
2	65536	64	21.20	decode	0.28
4	65536	1	34.30	prefill	0.15
4	65536	2	29.50	decode	0.11
4	65536	4	25.00	decode	0.15
4	65536	8	22.40	decode	0.22
4	65536	16	21.70	decode	0.17
4	65536	32	22.00	decode	0.17
4	65536	64	22.10	decode	0.23
8	65536	1	34.90	prefill	0.20
8	65536	2	30.40	decode	0.17
8	65536	4	26.80	decode	0.06
8	65536	8	23.20	decode	0.10
8	65536	16	23.00	decode	0.14
8	65536	32	24.00	decode	0.07
8	65536	64	24.10	decode	0.15
16	65536	1	35.00	prefill	0.10
16	65536	2	32.20	decode	0.16
16	65536	4	29.40	decode	0.14
16	65536	8	24.10	decode	0.14
16	65536	16	24.60	decode	0.15
16	65536	32	27.00	decode	0.10
16	65536	64	27.00	decode	0.06
32	65536	1	35.30	prefill	0.10
32	65536	2	32.90	decode	0.09
32	65536	4	29.80	decode	0.12
32	65536	8	24.30	decode	0.15
32	65536	16	26.40	decode	0.21
32	65536	32	31.60	decode	0.15
32	65536	64	31.60	decode	0.17
64	65536	1	35.60	prefill	0.09
64	65536	2	36.90	decode	0.06
64	65536	4	35.20	decode	0.08
64	65536	8	25.80	decode	0.09
64	65536	16	28.60	decode	0.13
64	65536	32	38.00	decode	0.10
64	65536	64	38.00	decode	0.14
128	65536	1	40.40	prefill	0.04
128	65536	2	38.20	decode	0.04
128	65536	4	38.20	decode	0.11
